diseases,medicine_1,medicine_2,medicine_3,side_effects
Hyperosmotic Hyperketotic State,Insulin Regular, Normal Saline, Potassium Chloride,"Extreme thirst, Frequent urination, Weakness, Confusion, Nausea, High blood sugar"
Peritonsillar Abscess,Penicillin G, Clindamycin, Metronidazole,"Severe sore throat, Difficulty swallowing, Muffled voice, Fever, Drooling, Neck pain"
Gastroparesis,Metoclopramide, Domperidone, Erythromycin,"Nausea, Vomiting, Feeling full quickly, Bloating, Abdominal pain, Weight loss"
Itching of Unknown Cause,Cetirizine, Hydroxyzine, Diphenhydramine,"Generalized itching, Skin irritation, Redness, Dry skin, Scratching marks"
Polycythemia Vera,Hydroxyurea, Aspirin, Ruxolitinib,"Headache, Dizziness, Itching after bathing, Fatigue, Blurred vision, Redness of skin"
Thrombocytopenia,Prednisone, Eltrombopag, Romiplostim,"Easy bruising, Prolonged bleeding, Petechiae, Rash, Heavy menstruation, Bleeding gums"
Head and Neck Cancer,Cisplatin, Carboplatin, 5-Fluorouracil,"Lump in neck, Difficulty swallowing, Hoarseness, Ear pain, Weight loss, Sore throat"
Pseudohypoparathyroidism,Calcium Carbonate, Calcitriol, Cholecalciferol,"Low calcium, Short stature, Round face, Intellectual disability, Obesity, Muscle cramps"
Goiter,Levothyroxine, Methimazole, Potassium Iodide,"Swollen neck, Difficulty swallowing, Coughing, Hoarseness, Tight feeling in throat"
Urge Incontinence,Oxybutynin, Solifenacin, Tolterodine,"Sudden urge to urinate, Leaking urine, Frequent urination, Nocturia"
Edward Syndrome (Trisomy 18),No specific drug; supportive medications,,,"Heart defects, Clenched fists, Low birth weight, Feeding difficulties, Intellectual disability"
Open Wound of the Arm,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising, Limited movement, Tissue damage"
Muscular Dystrophy,Prednisone, Deflazacort, Eteplirsen,"Progressive muscle weakness, Difficulty walking, Falling, Muscle cramps, Scoliosis"
Mittelschmerz,Ibuprofen, Naproxen, Acetaminophen,"Mid-cycle pelvic pain, Lower abdominal pain, Light spotting, Nausea, Brief pain"
Corneal Abrasion,Moxifloxacin, Tobramycin, Artificial Tears,"Eye pain, Tearing, Redness, Light sensitivity, Foreign body sensation, Blurred vision"
Anemia of Chronic Disease,Epoetin Alfa, Ferric Carboxymaltose, Darbepoetin Alfa,"Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness, Cold extremities"
Dysthymic Disorder,Sertraline, Fluoxetine, Escitalopram,"Persistent low mood, Hopelessness, Fatigue, Poor concentration, Low self-esteem, Sleep problems"
Scarlet Fever,Penicillin V, Amoxicillin, Azithromycin,"High fever, Sore throat, Red rash, Strawberry tongue, Flushed face, Peeling skin"
Hypertensive Heart Disease,Amlodipine, Enalapril, Furosemide,"Chest pain, Shortness of breath, Fatigue, Palpitations, Headache, Dizziness"
Drug Abuse (Barbiturates),Phenobarbital (taper), Diazepam, Clonidine,"Drowsiness, Confusion, Slurred speech, Coordination problems, Mood changes, Respiratory depression"
Polycystic Ovarian Syndrome (PCOS),Metformin, Ethinylestradiol, Cyproterone Acetate,"Irregular periods, Excess hair growth, Acne, Weight gain, Thinning hair, Infertility"
Encephalitis,Acyclovir, Ganciclovir, Dexamethasone,"Fever, Headache, Confusion, Seizures, Stiff neck, Sensitivity to light"
Cyst of the Eyelid,Triamcinolone injection; surgical excision,,,"Swollen eyelid, Painless lump, Redness, Tenderness, Blurred vision if large"
Balanitis,Clotrimazole, Miconazole, Fluconazole,"Redness, Swelling, Discharge, Itching, Pain, Foul smell"
Foreign Body in the Throat,No drug; mechanical removal,,,"Choking, Difficulty swallowing, Gagging, Coughing, Throat pain, Drooling"
Drug Abuse (Cocaine),No antidote; Lorazepam, Propranolol (for symptoms),,"Euphoria, Increased energy, Paranoia, Rapid heartbeat, Nosebleeds, Weight loss"
Optic Neuritis,Methylprednisolone, Interferon Beta-1a,,"Eye pain, Vision loss, Color vision changes, Flashing lights, Blurred vision"
Alcohol Withdrawal,Diazepam, Lorazepam, Chlordiazepoxide,"Tremors, Sweating, Anxiety, Nausea, Insomnia, Seizures"
Premature Atrial Contractions (PACs),Metoprolol, Atenolol, Verapamil,"Palpitations, Fluttering, Skipped beats, Dizziness, Chest discomfort"
Hemiplegia,Aspirin, Clopidogrel, Alteplase,"One-sided paralysis, Muscle weakness, Spasticity, Difficulty walking, Speech problems"
Hammer Toe,Ibuprofen, Naproxen; surgical correction,,"Toe deformity, Pain, Corns, Calluses, Difficulty wearing shoes, Swelling"
Open Wound of the Cheek,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising, Tissue damage, Scarring"
Joint Effusion,Triamcinolone, Methylprednisolone, Ibuprofen,"Joint swelling, Pain, Stiffness, Warmth, Limited movement"
Open Wound of the Knee,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited movement, Bruising"
Meningioma,Dexamethasone, Mifepristone; surgical resection,,"Headaches, Seizures, Vision changes, Weakness, Hearing loss, Memory problems"
Brain Cancer,Temozolomide, Bevacizumab, Carmustine,"Headaches, Seizures, Vision changes, Personality changes, Cognitive decline, Nausea"
Placental Abruption,Oxytocin, Magnesium Sulfate, Betamethasone,"Sudden abdominal pain, Vaginal bleeding, Uterine rigidity, Back pain, Fetal distress"
Seasonal Allergies (Hay Fever),Cetirizine, Loratadine, Fexofenadine,"Sneezing, Runny nose, Itchy eyes, Congestion, Postnasal drip, Fatigue"
Lung Cancer,Cisplatin, Carboplatin, Paclitaxel,"Persistent cough, Coughing blood, Shortness of breath, Chest pain, Hoarseness, Weight loss"
Primary Kidney Disease,Ramipril, Losartan, Furosemide,"Swelling, Fatigue, Blood in urine, Foamy urine, High blood pressure, Reduced urination"
Uterine Cancer,Carboplatin, Paclitaxel, Medroxyprogesterone,"Abnormal vaginal bleeding, Pelvic pain, Watery discharge, Painful urination, Weight loss"
Dry Eye of Unknown Cause,Cyclosporine (Restasis), Lifitegrast, Artificial Tears,"Burning, Stinging, Redness, Blurred vision, Sensitivity to light, Eye fatigue"
Fibrocystic Breast Disease,Ibuprofen, Danazol, Bromocriptine,"Breast lumps, Breast pain, Tenderness, Nipple discharge, Swelling before period"
Fungal Infection of the Hair,Griseofulvin, Terbinafine, Itraconazole,"Scaly patches, Hair loss, Itching, Redness, Brittle hair, Bald spots"
Tooth Abscess,Amoxicillin, Metronidazole, Clindamycin,"Severe toothache, Swelling, Fever, Bitter taste, Swollen lymph nodes, Sensitivity"
Envenomation from Spider or Animal Bite,Antivenom, Methylprednisolone, Tetanus Toxoid,"Pain at bite site, Swelling, Redness, Nausea, Muscle cramps, Fever"
VACTERL Syndrome,No specific drug; supportive medications for each defect,,,"Vertebral defects, Cardiac defects, Tracheoesophageal fistula, Renal anomalies, Limb defects"
Vertebrobasilar Insufficiency,Aspirin, Clopidogrel, Atorvastatin,"Dizziness, Double vision, Slurred speech, Difficulty swallowing, Coordination problems"
Rectal Disorder,Hydrocortisone, Mesalazine, Metronidazole,"Rectal pain, Bleeding, Discharge, Itching, Constipation, Diarrhea"
Atonic Bladder,Bethanechol, Neostigmine,,"Difficulty urinating, Weak stream, Frequent UTIs, Overflow incontinence, Bladder fullness"
Benign Paroxysmal Positional Vertigo (BPPV),Meclizine, Dimenhydrinate; Epley maneuver,,"Brief vertigo episodes, Dizziness with head movement, Nausea, Nystagmus, Imbalance"
Blepharospasm,Botulinum Toxin Type A, Clonazepam, Trihexyphenidyl,"Involuntary eyelid blinking, Eye irritation, Sensitivity to light, Difficulty opening eyes"
Sarcoidosis,Prednisone, Hydroxychloroquine, Methotrexate,"Fatigue, Shortness of breath, Cough, Skin lesions, Swollen lymph nodes, Fever"
Metastatic Cancer,Depends on primary; Pembrolizumab, Nivolumab, Cisplatin,"Pain at metastasis site, Fatigue, Weight loss, Loss of appetite, Organ dysfunction"
Trigger Finger,Triamcinolone, Methylprednisolone; surgical release,,"Finger stiffness, Clicking, Locking, Pain at base of finger, Swelling"
Stye (Hordeolum),Erythromycin ointment, Bacitracin, Tobramycin drops,"Painful eyelid lump, Redness, Swelling, Tearing, Light sensitivity, Discharge"
Hemochromatosis,Deferoxamine, Deferasirox, Deferiprone,"Fatigue, Joint pain, Abdominal pain, Skin bronzing, Diabetes, Liver disease"
Osteochondroma,Ibuprofen, Naproxen; surgical excision,,"Bone lump, Pain, Limited joint movement, Numbness, Weakness if nerve compressed"
Cushing Syndrome,Ketoconazole, Metyrapone, Mifepristone,"Weight gain, Moon face, Buffalo hump, Stretch marks, Easy bruising, High blood pressure"
Typhoid Fever,Ciprofloxacin, Ceftriaxone, Azithromycin,"High fever, Headache, Abdominal pain, Constipation or diarrhea, Rose spots, Weakness"
Vitreous Degeneration,No drug; vitrectomy if severe,,,"Floaters, Flashes of light, Blurred vision, Shadow in vision"
Atrophic Skin Condition,Tretinoin, Retinol, Urea,"Thin skin, Fragility, Wrinkles, Dryness, Bruising, Skin tears"
Aspergillosis,Voriconazole, Isavuconazole, Amphotericin B,"Cough, Shortness of breath, Fever, Chest pain, Coughing blood, Wheezing"
Uterine Atony,Oxytocin, Misoprostol, Ergometrine,"Heavy postpartum bleeding, Soft uterus, Abdominal pain, Signs of hemorrhage"
Trichinosis,Albendazole, Mebendazole, Prednisone,"Diarrhea, Abdominal pain, Muscle pain, Fever, Swollen eyes, Fatigue"
Whooping Cough (Pertussis),Azithromycin, Clarithromycin, Erythromycin,"Severe coughing fits, Whooping sound, Vomiting after coughing, Runny nose, Mild fever"
Open Wound of the Lip,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising"
Subacute Thyroiditis,Ibuprofen, Naproxen, Prednisone,"Neck pain, Thyroid tenderness, Fever, Fatigue, Temporary hyperthyroidism then hypothyroidism"
Oral Mucosal Lesion,Triamcinolone Acetonide, Lidocaine, Chlorhexidine,"Mouth sores, Pain, White or red patches, Bleeding, Difficulty eating"
Open Wound due to Trauma,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising, Tissue damage"
Intracerebral Hemorrhage,Labetalol, Nicardipine, Vitamin K,"Sudden severe headache, Weakness, Numbness, Speech problems, Vision changes, Confusion"
Alzheimer Disease,Donepezil, Rivastigmine, Galantamine,"Memory loss, Confusion, Difficulty with language, Disorientation, Personality changes, Poor judgment"
Vaginismus,Botulinum Toxin Type A, Diazepam (vaginal), Lidocaine gel,"Painful intercourse, Involuntary vaginal muscle spasms, Difficulty with penetration, Anxiety"
Systemic Lupus Erythematosus (SLE),Hydroxychloroquine, Prednisone, Azathioprine,"Butterfly rash, Joint pain, Fatigue, Fever, Kidney problems, Hair loss"
Premature Ovarian Failure,Estradiol, Progesterone, Calcium Carbonate,"Irregular periods, Hot flashes, Night sweats, Infertility, Vaginal dryness, Mood changes"
Thoracic Outlet Syndrome,Ibuprofen, Naproxen, Gabapentin; surgical decompression,"Arm pain, Numbness, Tingling, Weakness, Neck pain, Shoulder pain"
Ganglion Cyst,Triamcinolone; aspiration or surgical excision,,,"Visible lump, Pain, Tingling, Muscle weakness, Limited joint movement"
Dislocation of the Knee,Ibuprofen, Morphine; surgical ligament repair,,"Severe knee pain, Deformity, Swelling, Inability to move, Neurovascular compromise"
Crohn Disease,Mesalazine, Prednisone, Azathioprine,"Abdominal pain, Diarrhea, Weight loss, Fatigue, Fever, Rectal bleeding"
Postoperative Infection,Amoxicillin-Clavulanate, Vancomycin, Piperacillin-Tazobactam,"Wound redness, Swelling, Discharge, Fever, Pain, Warmth"
Folate Deficiency,Folic Acid,,,"Fatigue, Weakness, Mouth sores, Gray hair, Swollen tongue, Anemia symptoms"
Fluid Overload,Furosemide, Bumetanide, Spironolactone,"Swelling, Shortness of breath, Weight gain, High blood pressure, Crackles in lungs"
Atrial Flutter,Metoprolol, Diltiazem, Verapamil,"Palpitations, Rapid heartbeat, Dizziness, Shortness of breath, Chest pain, Fatigue"
Skin Disorder,Treat cause; Hydrocortisone, Betamethasone, Tacrolimus,"Rash, Itching, Redness, Swelling, Blisters, Scaling"
Floaters,No drug; vitrectomy if severe,,,"Spots in vision, Strings, Cobwebs, Moving shadows"
Tooth Disorder,Amoxicillin, Ibuprofen, Fluoride,"Toothache, Sensitivity, Swelling, Bad breath, Loose teeth"
Heart Attack (MI),Aspirin, Clopidogrel, Atenolol,"Chest pain, Arm pain, Shortness of breath, Sweating, Nausea, Jaw pain"
Open Wound of the Abdomen,Amoxicillin-Clavulanate, Metronidazole, Morphine,"Pain, Bleeding, Swelling, Tissue damage, Shock if severe"
Fracture of the Leg,Ibuprofen, Acetaminophen, Morphine,"Leg pain, Swelling, Deformity, Inability to bear weight, Bruising, Tenderness"
Oral Thrush (Yeast Infection),Nystatin, Fluconazole, Clotrimazole,"White patches in mouth, Soreness, Difficulty swallowing, Loss of taste, Redness"
Pityriasis Rosea,Cetirizine, Hydrocortisone, Acyclovir (severe cases),"Pink oval rash, Herald patch, Itching, Mild fever, Fatigue, Scaling"
Allergy to Animals,Cetirizine, Loratadine, Fexofenadine,"Sneezing, Runny nose, Itchy eyes, Skin rash, Asthma symptoms, Congestion"
Orthostatic Hypotension,Fludrocortisone, Midodrine, Droxidopa,"Dizziness when standing, Lightheadedness, Fainting, Blurred vision, Weakness"
Obstructive Sleep Apnea (OSA),No drug; CPAP; Modafinil for residual sleepiness,,,"Loud snoring, Gasping during sleep, Morning headache, Daytime sleepiness, Insomnia"
Hypokalemia,Potassium Chloride, Spironolactone, Amiloride,"Muscle weakness, Cramps, Constipation, Palpitations, Fatigue, Numbness"
Psoriasis,Betamethasone, Calcipotriol, Methotrexate,"Red scaly patches, Itching, Dry cracked skin, Nail changes, Joint pain, Burning"
Dislocation of the Shoulder,Ibuprofen, Diazepam, Morphine; reduction procedure,"Shoulder pain, Deformity, Swelling, Numbness, Muscle spasms, Limited movement"
Intussusception,No drug; enema reduction or surgical correction,,,"Sudden severe abdominal pain, Vomiting, Bloody stool, Lump in abdomen, Lethargy"
Cervicitis,Azithromycin, Ceftriaxone, Doxycycline,"Vaginal discharge, Bleeding between periods, Pain during intercourse, Pelvic pain"
Abscess of the Pharynx,Penicillin G, Clindamycin, Metronidazole,"Severe sore throat, Difficulty swallowing, Fever, Neck pain, Drooling, Muffled voice"
Primary Thrombocythemia,Aspirin, Hydroxyurea, Anagrelide,"Headache, Dizziness, Chest pain, Redness of hands, Blood clots, Bleeding"
Arthritis of the Hip,Ibuprofen, Naproxen, Celecoxib,"Hip pain, Stiffness, Reduced range of motion, Limping, Groin pain, Difficulty walking"
Decubitus Ulcer,Hydrocolloid dressings, Silver Sulfadiazine, Collagenase,"Skin redness, Open sore, Tissue breakdown, Pain, Infection, Odor"
Hypernatremia,Dextrose 5% in Water (D5W), Normal Saline 0.45%,,"Extreme thirst, Confusion, Agitation, Muscle twitching, Seizures, Coma if severe"
Sensorineural Hearing Loss,Prednisone, Methylprednisolone (sudden onset),,"Hearing loss, Difficulty with speech, Tinnitus, Balance problems, Difficulty hearing in noise"
Chronic Ulcer,Silver Sulfadiazine, Bacitracin, Collagenase,"Persistent sore, Pain, Bleeding, Infection, Slow healing, Discharge"
Osteoporosis,Alendronate, Risedronate, Denosumab,"Back pain, Height loss, Stooped posture, Easy fractures, Bone fragility"
Ileus,Neostigmine (paralytic ileus), Metoclopramide,,"Abdominal distension, No bowel sounds, Nausea, Vomiting, Constipation, Abdominal pain"
Sickle Cell Crisis,Morphine, Hydroxyurea, Oxygen,"Severe pain, Swelling, Fever, Fatigue, Shortness of breath, Jaundice"
Urethritis,Azithromycin, Ceftriaxone, Doxycycline,"Painful urination, Discharge, Frequency, Urgency, Itching, Burning"
Prostatitis,Ciprofloxacin, Levofloxacin, Tamsulosin,"Pelvic pain, Painful urination, Frequency, Urgency, Fever, Painful ejaculation"
Otitis Externa (Swimmer's Ear),Ciprofloxacin + Hydrocortisone ear drops, Acetic Acid,,"Ear pain, Itching, Discharge, Hearing loss, Swelling, Redness"
Poisoning due to Anticonvulsants,Activated Charcoal, Naloxone, Flumazenil,"Drowsiness, Dizziness, Ataxia, Nausea, Blurred vision, Confusion"
Testicular Torsion,No drug; emergency surgery,,,"Sudden severe testicular pain, Swelling, Nausea, Vomiting, Abdominal pain"
Tricuspid Valve Disease,Furosemide, Spironolactone; surgical repair,,"Fatigue, Swelling, Palpitations, Shortness of breath, Abdominal discomfort, Jaundice"
Urethral Stricture,Lidocaine gel; urethral dilation or urethroplasty,,,"Weak urine stream, Straining, Incomplete emptying, Frequent UTIs, Spraying urine"
Vitamin D Deficiency,Cholecalciferol (Vitamin D3), Ergocalciferol (Vitamin D2), Calcium,"Bone pain, Muscle weakness, Fatigue, Depression, Frequent infections, Hair loss"
Hydatidiform Mole,Methotrexate, Actinomycin D,,"Vaginal bleeding, Nausea, Vomiting, Uterine enlargement, No fetal movement, Hypertension"
Pain Disorder Affecting the Neck,Ibuprofen, Naproxen, Cyclobenzaprine,"Neck pain, Stiffness, Headache, Radiating arm pain, Limited movement, Muscle spasms"
Tuberculosis,Rifampicin, Isoniazid, Pyrazinamide,"Persistent cough, Coughing blood, Night sweats, Weight loss, Fever, Fatigue"
Pelvic Fistula,Metronidazole, Amoxicillin-Clavulanate; surgical repair,,"Urinary or fecal leakage, Recurrent infections, Pelvic pain, Vaginal discharge"
Acute Bronchiolitis,Epinephrine (nebulized), Oxygen, Saline (hypertonic),"Wheezing, Cough, Rapid breathing, Fever, Runny nose, Poor feeding in infants"
Presbyopia,No drug; corrective lenses,,,"Difficulty reading close text, Needing to hold text far, Eye strain, Headaches"
