diseases,medicine_1,medicine_2,medicine_3,side_effects
friedrich ataxia,Riluzole (investigational),Idebenone,Physical Therapy,"Nausea, elevated liver enzymes, fatigue, muscle soreness, dizziness"
tic (movement) disorder,Behavioral Therapy (CBIT),Clonidine,Fluphenazine,"Sedation, hypotension, extrapyramidal symptoms, tardive dyskinesia, rebound hypertension"
skin polyp,Surgical Excision,Cryotherapy,Electrocautery,"Bleeding, pain, infection, scarring, hypopigmentation"
brachial neuritis,Prednisone,Ibuprofen,Physical Therapy,"Hyperglycemia, GI upset, immunosuppression, muscle soreness, osteoporosis"
cervical cancer,Radical Hysterectomy,Cisplatin-based Chemoradiation,Pembrolizumab (advanced),"Bleeding, nephrotoxicity, immune-related adverse events, myelosuppression, fatigue"
adrenal adenoma,Adrenalectomy (laparoscopic),Spironolactone (aldosteronoma),Metyrapone (Cushing's),"Adrenal insufficiency, hyperkalemia, nausea, bleeding, hirsutism"
esophagitis,Omeprazole,Esomeprazole,Pantoprazole,"Headache, diarrhea, nausea, hypomagnesemia (long-term), C. difficile infection"
gas gangrene,Penicillin G,Clindamycin,Surgical Debridement,"Allergic reactions, C. difficile colitis, bleeding, electrolyte imbalance, tissue loss"
yeast infection,Fluconazole,Miconazole (topical),Clotrimazole (topical),"Nausea, local burning, hepatotoxicity, drug interactions, skin irritation"
spina bifida,Folic Acid (prevention),Surgical Repair (myelomeningocele),Physical Therapy,"Bloating, bleeding, infection, fatigue, CSF leak"
drug poisoning due to medication,Activated Charcoal,Naloxone (opioid-specific),N-Acetylcysteine (acetaminophen),"Aspiration pneumonia, acute opioid withdrawal, nausea, vomiting, anaphylactoid reactions"
alcoholic liver disease,Abstinence from Alcohol,Prednisolone (alcoholic hepatitis),Pentoxifylline,"Withdrawal syndrome, hyperglycemia, nausea, immunosuppression, GI upset"
malignant hypertension,Labetalol (IV),Nicardipine (IV),Sodium Nitroprusside (IV),"Hypotension, bradycardia, headache, nausea, cyanide toxicity (nitroprusside)"
diverticulitis,Amoxicillin-Clavulanate (mild),Ciprofloxacin + Metronidazole (moderate),Piperacillin-Tazobactam (severe),"Diarrhea, nausea, tendinopathy, metallic taste, C. difficile infection"
moyamoya disease,Encephaloduroarteriosynangiosis (EDAS) surgery,Aspirin,Calcium Channel Blockers,"Bleeding, GI upset, peripheral edema, headache, infection"
heat exhaustion,Oral Rehydration,IV Normal Saline,Active Cooling,"Bloating, fluid overload, electrolyte disturbance, skin irritation, hyperchloremic acidosis"
psychotic disorder,Risperidone,Olanzapine,Aripiprazole,"Weight gain, sedation, metabolic syndrome, akathisia, extrapyramidal symptoms"
frostbite,Rapid Rewarming (warm water),Ibuprofen,TPA (thrombolysis - severe),"Rewarming pain, GI upset, major bleeding, blistering, reperfusion injury"
atrophy of the corpus cavernosum,Phosphodiesterase-5 Inhibitors (Sildenafil),Vacuum Erection Device,Penile Rehabilitation Therapy,"Headache, flushing, local discomfort, dyspepsia, visual disturbances"
smoking or tobacco addiction,Varenicline,Bupropion SR,Nicotine Replacement Therapy,"Nausea, insomnia, skin irritation (patches), dry mouth, vivid dreams"
sprain or strain,Ibuprofen,Naproxen,R.I.C.E. Therapy + Physical Therapy,"GI upset, peptic ulcer, muscle soreness, renal impairment, headache"
essential tremor,Propranolol,Primidone,Topiramate,"Fatigue, sedation, cognitive impairment, bradycardia, kidney stones"
open wound of the ear,Ciprofloxacin-Dexamethasone (otic),Wound Irrigation,Amoxicillin-Clavulanate (oral),"Local irritation, diarrhea, nausea, increased IOP (steroid), allergic reactions"
foreign body in the nose,Manual Removal (forceps),Positive Pressure Technique,Endoscopic Removal,"Local bleeding, mucosal trauma, pain, epistaxis, anxiety in children"
idiopathic painful menstruation,Ibuprofen,Naproxen Sodium,Combined Oral Contraceptive Pill,"GI upset, nausea, thromboembolism, renal impairment, headache"
down syndrome,Early Intervention Therapies,Levothyroxine (associated hypothyroidism),Cardiac Surgical Repair (CHD),"Emotional stress, palpitations, bleeding, arrhythmias, anesthesia risks"
idiopathic infrequent menstruation,Combined Oral Contraceptive Pill,Medroxyprogesterone Acetate,Letrozole (if fertility desired),"Nausea, irregular bleeding, hot flashes, thromboembolism, bone density loss"
pneumothorax,Needle Decompression (tension),Chest Tube Insertion,Observation (small primary),"Pain, bleeding, infection, re-expansion pulmonary edema, recurrence risk"
de quervain disease,Corticosteroid Injection,Ibuprofen,Thumb Spica Splint,"Skin atrophy, GI upset, local pain, joint stiffness, skin irritation"
fracture of the vertebra,Analgesics (Ibuprofen/Ketorolac),Vertebroplasty/Kyphoplasty (osteoporotic),Surgical Stabilization,"GI bleeding, cement leakage, infection, renal impairment, nerve damage"
human immunodeficiency virus infection (hiv),Bictegravir-Tenofovir-Emtricitabine,Dolutegravir + Tenofovir + Emtricitabine,Efavirenz + Tenofovir + Emtricitabine,"Nausea, renal toxicity, CNS effects (efavirenz), bone density loss, fatigue"
mumps,Supportive Care (rest + fluids),Ibuprofen,MMR Vaccine (prevention),"GI upset, injection site pain, fever, mild rash, renal impairment"
subarachnoid hemorrhage,Nimodipine,Surgical Clipping/Endovascular Coiling,Mannitol (ICP management),"Hypotension, bleeding, electrolyte imbalance, bradycardia, neurological deficits"
acute fatty liver of pregnancy (aflp),Immediate Delivery,IV Dextrose,Fresh Frozen Plasma (FFP),"Hemorrhage, hyperglycemia, fluid overload, transfusion reactions, anesthesia risks"
ectropion,Lubricating Eye Drops,Surgical Repair,Taping Eyelid (temporary),"Blurred vision, preservative irritation, infection, scarring, skin irritation"
scar,Silicone Gel Sheeting,Intralesional Corticosteroid Injection,Pulsed Dye Laser,"Skin irritation, skin atrophy, purpura, hypopigmentation, pain at injection site"
lactose intolerance,Lactase Enzyme Supplements,Lactose-Free Diet,Calcium + Vitamin D Supplementation,"Bloating, constipation, flatulence, nausea, hypercalcemia (if excess)"
eustachian tube dysfunction,Pseudoephedrine (decongestant),Intranasal Corticosteroids,Eustachian Tube Balloon Dilation,"Insomnia, elevated blood pressure, nasal dryness, epistaxis, procedural pain"
appendicitis,Appendectomy (laparoscopic),Ceftriaxone + Metronidazole (antibiotics),Piperacillin-Tazobactam (perforated),"Bleeding, infection, nausea, C. difficile infection, bowel obstruction"
graves disease,Methimazole,Radioactive Iodine (I-131),Thyroidectomy,"Agranulocytosis, hypothyroidism, bleeding, sialadenitis, hepatotoxicity"
dissociative disorder,Cognitive Behavioral Therapy (CBT),Psychotherapy (trauma-focused),SSRIs (comorbid depression),"Emotional distress, nausea, insomnia, sexual dysfunction, time commitment"
open wound of the face,Wound Irrigation + Closure,Amoxicillin-Clavulanate,Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
dislocation of the vertebra,Spinal Immobilization,Surgical Reduction and Fixation,Methylprednisolone (acute SCI),"DVT, bleeding, hyperglycemia, nerve damage, immunosuppression"
phimosis,Betamethasone Cream (topical),Preputioplasty,Circumcision,"Skin atrophy, bleeding, infection, scarring, secondary infections"
hyperemesis gravidarum,Pyridoxine + Doxylamine,Ondansetron,IV Fluid Rehydration,"Sedation, constipation, QT prolongation, fluid overload, electrolyte imbalance"
pregnancy,Prenatal Folic Acid,Iron Supplementation,Prenatal Vitamins,"Nausea, constipation, GI upset, bloating, black stools"
thalassemia,Blood Transfusions (regular),Iron Chelation (Deferasirox),Hematopoietic Stem Cell Transplant,"Iron overload, renal impairment, graft-versus-host disease, transfusion reactions, nausea"
placenta previa,Betamethasone (fetal lung maturity),Cesarean Section (delivery),Magnesium Sulfate (preterm),"Maternal hyperglycemia, bleeding, flushing, nausea, respiratory depression (magnesium)"
epidural hemorrhage,Craniotomy (surgical evacuation),Mannitol (ICP reduction),Intubation (airway management),"Bleeding, electrolyte imbalance, aspiration, renal failure, neurological deficits"
septic arthritis,Ceftriaxone,Vancomycin (MRSA coverage),Joint Drainage/Washout,"Nephrotoxicity, allergic reactions, bleeding, C. difficile infection, joint stiffness"
athlete's foot,Terbinafine (topical),Clotrimazole (topical),Fluconazole (oral - severe),"Local irritation, burning, nausea, hepatotoxicity (oral), contact dermatitis"
pleural effusion,Thoracentesis,Furosemide (transudative-CHF),Pleurodesis (recurrent malignant),"Pneumothorax, electrolyte imbalance, chest pain, infection, hypotension"
aphakia,Intraocular Lens Implantation,Aphakic Contact Lens,Spectacle Correction,"Infection (endophthalmitis), corneal abrasion, vision distortion, glare, lens dislocation"
vulvar disorder,Clobetasol (lichen sclerosus),Fluconazole (vulvovaginal candidiasis),Estrogen Cream (atrophic),"Skin atrophy, nausea, local irritation, HPA suppression, spotting"
sialoadenitis,Amoxicillin-Clavulanate,Hydration + Gland Massage,Surgical Drainage (abscess),"Diarrhea, nausea, allergic reactions, bleeding, scarring"
gynecomastia,Tamoxifen,Raloxifene,Surgical Mastectomy (persistent),"Hot flashes, thromboembolism, nausea, leg cramps, bleeding"
urinary tract infection,Nitrofurantoin,Trimethoprim-Sulfamethoxazole,Ciprofloxacin,"Nausea, rash, tendinopathy, pulmonary toxicity (nitrofurantoin), photosensitivity"
histoplasmosis,Itraconazole,Amphotericin B (severe),Fluconazole (mild/maintenance),"Nausea, nephrotoxicity (amphotericin), hepatotoxicity, QT prolongation, electrolyte disturbance"
erythema multiforme,Acyclovir (HSV-triggered),Prednisone (severe),Antihistamines,"Nausea, sedation, hyperglycemia, renal impairment, dry mouth"
scoliosis,Bracing (adolescent idiopathic),Physical Therapy,Spinal Fusion (severe curves),"Skin irritation, muscle soreness, bleeding, infection, hardware failure"
bunion,Surgical Correction (bunionectomy),Ibuprofen,Orthotics/Padding,"Bleeding, GI upset, infection, local irritation, nerve damage"
arrhythmia,Metoprolol (rate control),Amiodarone (rhythm control),Flecainide (prophylaxis),"Bradycardia, pulmonary toxicity (amiodarone), pro-arrhythmic effect, thyroid dysfunction, fatigue"
trigeminal neuralgia,Carbamazepine,Oxcarbazepine,Microvascular Decompression (surgery),"Dizziness, hyponatremia, ataxia, bleeding, Stevens-Johnson syndrome risk"
ankylosing spondylitis,Naproxen (NSAIDs),Adalimumab (TNF inhibitor),Secukinumab,"GI upset, increased infection risk, injection site reactions, peptic ulcer, IBD exacerbation"
peripheral nerve disorder,Physical Therapy,Pregabalin,Duloxetine,"Muscle soreness, dizziness, somnolence, nausea, peripheral edema"
sebaceous cyst,Surgical Excision,Intralesional Corticosteroid Injection,Incision and Drainage (infected),"Bleeding, infection, skin atrophy, scarring, recurrence"
poisoning due to antipsychotics,Activated Charcoal,Physostigmine (anticholinergic effects),Supportive Care + Benzodiazepines,"Aspiration pneumonia, bradycardia, sedation, respiratory depression, constipation"
neurosis,Cognitive Behavioral Therapy (CBT),SSRIs (Sertraline),Buspirone (anxiety),"Nausea, insomnia, dizziness, sexual dysfunction, emotional distress during therapy"
prostate cancer,Enzalutamide,Leuprolide (ADT),Docetaxel (metastatic),"Hot flashes, myelosuppression, fatigue, peripheral neuropathy, bone density loss"
cerebral edema,Mannitol,Hypertonic Saline,Dexamethasone (vasogenic),"Electrolyte imbalance, hyperglycemia, renal failure, immunosuppression, hypotension"
dislocation of the finger,Closed Reduction,Splinting,Ibuprofen,"Pain, GI upset, joint stiffness, swelling, skin irritation"
birth trauma,Supportive Care,Physical Therapy (brachial plexus injury),Phototherapy (neonatal jaundice),"Muscle soreness, dehydration, skin rash, compliance challenges, psychological distress"
chronic pancreatitis,Pancreatic Enzyme Replacement (Pancrelipase),Pregabalin (pain),Celiac Plexus Block,"Nausea, dizziness, abdominal cramping, hypotension, peripheral edema"
hematoma,Aspiration/Drainage,Ibuprofen,Surgical Evacuation (large),"Local pain, GI upset, bleeding, infection, recurrence"
carcinoid syndrome,Octreotide LAR,Lanreotide,Somatostatin Analogue Therapy,"Gallstones, nausea, hyperglycemia, hypothyroidism, injection site reactions"
open wound of the head,Wound Irrigation + Closure,Cephalexin (prophylaxis),Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
seborrheic keratosis,Cryotherapy,Curettage,Electrodesiccation,"Pain, blistering, hypopigmentation, scarring, infection"
burn,Silver Sulfadiazine (topical),Mafenide Acetate,IV Fluid Resuscitation (Parkland Formula),"Leukopenia, metabolic acidosis, fluid overload, local burning, allergic reactions"
spontaneous abortion,Misoprostol (incomplete abortion),Surgical Curettage (D&C),Rh Immunoglobulin (Rh-negative),"Cramping, bleeding, infection, uterine perforation, injection site pain"
genital herpes,Acyclovir,Valacyclovir,Famciclovir,"Nausea, headache, renal impairment, dizziness, fatigue"
adjustment reaction,Supportive Psychotherapy,CBT,Short-term Benzodiazepines (anxiety),"Emotional distress, sedation, dependence, cognitive impairment, rebound anxiety"
gallstone,Laparoscopic Cholecystectomy,Ursodeoxycholic Acid (non-surgical candidate),ESWL (Extracorporeal Shockwave),"Bleeding, diarrhea, infection, nausea, skin bruising"
multiple sclerosis,Interferon Beta-1a,Glatiramer Acetate,Natalizumab,"Flu-like symptoms, injection site reactions, PML risk (natalizumab), depression, fatigue"
zenker diverticulum,Endoscopic Staple Diverticulotomy,Surgical Diverticulectomy,Cricopharyngeal Myotomy,"Bleeding, perforation, infection, dysphagia, esophageal leak"
fracture of the pelvis,Pelvic External Fixation,ORIF (Open Reduction Internal Fixation),Pelvic Binder (acute),"Bleeding, DVT, infection, nerve damage, skin necrosis (prolonged binder)"
pneumoconiosis,Supportive Care (pulmonary rehab),Bronchodilators (Albuterol),Oxygen Therapy,"Tremor, palpitations, mucosal dryness, oxygen toxicity (high flow), hypokalemia"
hyperlipidemia,Atorvastatin,Rosuvastatin,Ezetimibe,"Myopathy, hepatotoxicity, diarrhea, headache, nausea"
ulcerative colitis,Mesalamine,Infliximab,Prednisone (acute flare),"Nausea, increased infection risk, hyperglycemia, infusion reactions, interstitial nephritis"
male genitalia infection,Doxycycline (chlamydia),Ceftriaxone (gonorrhea),Azithromycin,"Photosensitivity, nausea, QT prolongation, allergic reactions, diarrhea"
hpv (human papillomavirus),HPV Vaccine (prevention),Imiquimod (genital warts),Cryotherapy (warts),"Injection site pain, local skin reactions, flu-like symptoms, blistering, hypopigmentation"
angina,Nitroglycerin (sublingual),Aspirin,Metoprolol,"Headache, GI bleeding, bradycardia, hypotension, flushing"
injury to the spinal cord,Methylprednisolone (acute),Surgical Decompression,Physical Rehabilitation,"Hyperglycemia, bleeding, immunosuppression, infection, muscle soreness"
nasal polyp,Mometasone (intranasal),Prednisone (oral - short course),Functional Endoscopic Sinus Surgery,"Nasal dryness, epistaxis, hyperglycemia, bleeding, infection"
lichen simplex,Triamcinolone (topical corticosteroid),Tacrolimus (topical),Behavioral Therapy (anti-scratching),"Skin atrophy, local burning, hypopigmentation, secondary infections, HPA suppression"
trichiasis,Epilation,Electrolysis,Eyelid Surgery (severe),"Local discomfort, pain, scarring, skin hypopigmentation, bleeding"
acariasis,Permethrin 5% Cream (scabies),Ivermectin,Lindane (second-line),"Skin burning, nausea, dizziness, neurotoxicity (lindane), skin irritation"
colorectal cancer,Surgical Resection,Oxaliplatin + 5-Fluorouracil + Leucovorin (FOLFOX),Bevacizumab (advanced),"Bleeding, peripheral neuropathy, myelosuppression, hypertension, nausea"
skin pigmentation disorder,Hydroquinone (topical),Tretinoin + Hydroquinone,Chemical Peel (TCA),"Contact dermatitis, photosensitivity, skin irritation, ochronosis, scarring"
factitious disorder,Psychotherapy (CBT),Limit Setting (coordinated care),Antidepressants (comorbid),"Emotional distress, nausea, insomnia, resistance to treatment, sexual dysfunction"
lymphogranuloma venereum,Doxycycline,Azithromycin,Erythromycin,"Photosensitivity, nausea, QT prolongation, hepatotoxicity, GI upset"
galactorrhea of unknown cause,Cabergoline,Bromocriptine,Observation (physiologic),"Nausea, orthostatic hypotension, headache, dizziness, patient anxiety"
g6pd enzyme deficiency,Avoidance of Triggers,Folic Acid,Blood Transfusion (hemolytic crisis),"Difficulty avoiding all triggers, bloating, iron overload, transfusion reactions, alloimmunization"
nerve impingement near the shoulder,Physical Therapy,Ibuprofen (NSAIDs),Corticosteroid Injection,"Muscle soreness, GI upset, skin atrophy, tendon rupture risk, temporary pain increase"
toxoplasmosis,Pyrimethamine + Sulfadiazine,Pyrimethamine + Clindamycin,Trimethoprim-Sulfamethoxazole,"Bone marrow suppression, nausea, rash, photosensitivity, C. difficile colitis"
fibroadenoma,Observation (conservative),Ultrasound-Guided Biopsy,Surgical Excision (large/growing),"Patient anxiety, local pain, bleeding, scarring, infection"
open wound of the hand,Wound Irrigation + Closure,Amoxicillin-Clavulanate,Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
missed abortion,Misoprostol,Surgical Evacuation (D&C),Mifepristone + Misoprostol,"Cramping, bleeding, nausea, infection, uterine perforation"
diabetic ketoacidosis,IV Insulin (Regular),IV Normal Saline,Potassium Replacement,"Hypoglycemia, fluid overload, hyperkalemia, electrolyte imbalance, phlebitis"
granuloma inguinale,Azithromycin,Doxycycline,Erythromycin,"Nausea, photosensitivity, QT prolongation, hepatotoxicity, GI upset"
